user_Id,email,product,rating
15889,cust15889@gmail.com,Medium-term deposits,3.5
15890,cust15890@gmail.com,Securities,3.0
15891,cust15891@gmail.com,Direct Debit,4.0
15892,cust15892@gmail.com,Payroll Account,2.0
15893,cust15893@gmail.com,Pensions,1.0
15894,cust15894@gmail.com,Credit Card,1.5
15895,cust15895@gmail.com,Securities,4.0
15896,cust15896@gmail.com,Current Accounts,4.5
15897,cust15897@gmail.com,Payroll Account,3.0
15898,cust15898@gmail.com,Home Account,3.0
15899,cust15899@gmail.com,Credit Card,2.0
15900,cust15900@gmail.com,Funds,4.0
15901,cust15901@gmail.com,Pensions,3.0
15902,cust15902@gmail.com,Payroll,1.5
15903,cust15903@gmail.com,Pensions,3.0
15906,cust15906@gmail.com,Medium-term deposits,2.0
15907,cust15907@gmail.com,Credit Card,3.0
15908,cust15908@gmail.com,Mortgage,5.0
15910,cust15910@gmail.com,Mortgage,3.0
15911,cust15911@gmail.com,Taxes,4.5
15913,cust15913@gmail.com,Mortgage,4.0
15914,cust15914@gmail.com,Pensions,5.0
15915,cust15915@gmail.com,Loans,3.0
15916,cust15916@gmail.com,Medium-term deposits,3.5
15917,cust15917@gmail.com,Current Accounts,3.5
15918,cust15918@gmail.com,Pensions,5.0
15919,cust15919@gmail.com,Mortgage,4.5
15920,cust15920@gmail.com,particular Plus Account,3.0
15921,cust15921@gmail.com,Derivada Account,2.0
15922,cust15922@gmail.com,Securities,5.0
15923,cust15923@gmail.com,Derivada Account,4.0
15924,cust15924@gmail.com,Mortgage,2.0
15925,cust15925@gmail.com,Medium-term deposits,4.0
15926,cust15926@gmail.com,particular Account,3.0
15927,cust15927@gmail.com,Securities,5.0
15928,cust15928@gmail.com,Payroll Account,2.0
15929,cust15929@gmail.com,Direct Debit,4.5
15930,cust15930@gmail.com,Taxes,1.0
15932,cust15932@gmail.com,Saving Account,3.0
15933,cust15933@gmail.com,Credit Card,4.0
15934,cust15934@gmail.com,Taxes,5.0
15935,cust15935@gmail.com,Funds,4.0
15936,cust15936@gmail.com,particular Plus Account,4.0
15937,cust15937@gmail.com,Payroll,3.0
15938,cust15938@gmail.com,Securities,4.5
15939,cust15939@gmail.com,Taxes,4.0
15940,cust15940@gmail.com,Payroll,1.0
15941,cust15941@gmail.com,Payroll,4.0
15942,cust15942@gmail.com,Guarantees,2.0
15943,cust15943@gmail.com,Home Account,2.0
15944,cust15944@gmail.com,particular Plus Account,1.0
15945,cust15945@gmail.com,Saving Account,5.0
15947,cust15947@gmail.com,Loans,5.0
15948,cust15948@gmail.com,Junior Account,4.5
15949,cust15949@gmail.com,Long-term deposits,5.0
15950,cust15950@gmail.com,Pensions,2.0
15951,cust15951@gmail.com,Payroll Account,2.0
15952,cust15952@gmail.com,Derivada Account,4.0
15954,cust15954@gmail.com,Credit Card,3.0
15956,cust15956@gmail.com,Current Accounts,3.0
15957,cust15957@gmail.com,Pensions,5.0
15958,cust15958@gmail.com,Taxes,2.5
15959,cust15959@gmail.com,Payroll,5.0
15960,cust15960@gmail.com,Saving Account,3.0
15961,cust15961@gmail.com,Taxes,3.0
15962,cust15962@gmail.com,Taxes,2.0
15964,cust15964@gmail.com,e-account,4.5
15965,cust15965@gmail.com,Mortgage,4.5
15967,cust15967@gmail.com,particular Plus Account,5.0
15969,cust15969@gmail.com,particular Plus Account,4.5
15972,cust15972@gmail.com,Mas particular Account,3.5
15973,cust15973@gmail.com,Funds,4.0
15974,cust15974@gmail.com,Home Account,5.0
15975,cust15975@gmail.com,Current Accounts,4.0
15976,cust15976@gmail.com,Pensions,5.0
15977,cust15977@gmail.com,Direct Debit,2.5
15978,cust15978@gmail.com,Mortgage,3.0
15979,cust15979@gmail.com,e-account,4.5
15980,cust15980@gmail.com,Junior Account,4.5
15981,cust15981@gmail.com,Loans,4.5
15982,cust15982@gmail.com,Saving Account,5.0
15983,cust15983@gmail.com,Payroll Account,4.0
15984,cust15984@gmail.com,particular Plus Account,3.0
15985,cust15985@gmail.com,Long-term deposits,3.0
15986,cust15986@gmail.com,Short-term deposits,4.0
15987,cust15987@gmail.com,Credit Card,3.0
15988,cust15988@gmail.com,Guarantees,3.0
15989,cust15989@gmail.com,Mortgage,5.0
15990,cust15990@gmail.com,particular Plus Account,3.0
15991,cust15991@gmail.com,Direct Debit,5.0
15992,cust15992@gmail.com,Payroll Account,3.5
15993,cust15993@gmail.com,Saving Account,5.0
15994,cust15994@gmail.com,Securities,3.5
15995,cust15995@gmail.com,Credit Card,3.5
15996,cust15996@gmail.com,Mas particular Account,1.0
15997,cust15997@gmail.com,Funds,5.0
15998,cust15998@gmail.com,Funds,3.5
15999,cust15999@gmail.com,Medium-term deposits,2.5
16000,cust16000@gmail.com,Payroll,4.0
16001,cust16001@gmail.com,Mas particular Account,4.5
16002,cust16002@gmail.com,Payroll Account,3.0
16003,cust16003@gmail.com,Long-term deposits,3.5
16004,cust16004@gmail.com,particular Plus Account,4.5
16005,cust16005@gmail.com,Loans,4.0
16007,cust16007@gmail.com,Short-term deposits,5.0
16008,cust16008@gmail.com,e-account,4.0
16009,cust16009@gmail.com,particular Account,3.0
16010,cust16010@gmail.com,Pensions,3.0
16011,cust16011@gmail.com,Securities,3.0
16013,cust16013@gmail.com,Pensions,3.0
16017,cust16017@gmail.com,Short-term deposits,4.0
16018,cust16018@gmail.com,Funds,4.5
16019,cust16019@gmail.com,Home Account,3.5
16022,cust16022@gmail.com,Credit Card,4.0
16024,cust16024@gmail.com,Securities,5.0
16025,cust16025@gmail.com,Mas particular Account,5.0
16026,cust16026@gmail.com,Mortgage,1.0
16027,cust16027@gmail.com,Long-term deposits,4.0
16028,cust16028@gmail.com,Medium-term deposits,5.0
16029,cust16029@gmail.com,Taxes,3.0
16031,cust16031@gmail.com,Long-term deposits,3.0
16033,cust16033@gmail.com,Taxes,3.0
16034,cust16034@gmail.com,Pensions,4.0
16036,cust16036@gmail.com,Guarantees,3.0
16038,cust16038@gmail.com,Long-term deposits,3.0
16039,cust16039@gmail.com,Derivada Account,4.0
16040,cust16040@gmail.com,Current Accounts,3.5
16041,cust16041@gmail.com,Mas particular Account,3.5
16042,cust16042@gmail.com,Pensions,2.0
16043,cust16043@gmail.com,Pensions,5.0
16046,cust16046@gmail.com,Saving Account,5.0
16047,cust16047@gmail.com,Payroll,5.0
16048,cust16048@gmail.com,Taxes,3.0
16049,cust16049@gmail.com,Pensions,4.0
16050,cust16050@gmail.com,Mortgage,3.5
16051,cust16051@gmail.com,Loans,4.5
16052,cust16052@gmail.com,Pensions,3.5
16053,cust16053@gmail.com,Pensions,4.5
16055,cust16055@gmail.com,Taxes,3.5
16056,cust16056@gmail.com,Direct Debit,4.0
16060,cust16060@gmail.com,Junior Account,3.0
16062,cust16062@gmail.com,Funds,2.5
16063,cust16063@gmail.com,Junior Account,4.5
16064,cust16064@gmail.com,Mas particular Account,5.0
16065,cust16065@gmail.com,Short-term deposits,4.0
16067,cust16067@gmail.com,Junior Account,2.5
16070,cust16070@gmail.com,Taxes,5.0
16073,cust16073@gmail.com,Home Account,3.0
16074,cust16074@gmail.com,Long-term deposits,5.0
16075,cust16075@gmail.com,Taxes,3.0
16078,cust16078@gmail.com,Guarantees,5.0
16082,cust16082@gmail.com,Medium-term deposits,3.0
16083,cust16083@gmail.com,Mortgage,5.0
16085,cust16085@gmail.com,Mortgage,3.0
16088,cust16088@gmail.com,particular Plus Account,4.0
16090,cust16090@gmail.com,Mortgage,4.5
16093,cust16093@gmail.com,Short-term deposits,3.0
16094,cust16094@gmail.com,Short-term deposits,3.5
16095,cust16095@gmail.com,Current Accounts,1.0
16098,cust16098@gmail.com,Taxes,3.5
16099,cust16099@gmail.com,Taxes,3.0
16100,cust16100@gmail.com,Payroll Account,4.0
16101,cust16101@gmail.com,Current Accounts,5.0
16102,cust16102@gmail.com,Long-term deposits,3.0
16103,cust16103@gmail.com,Junior Account,4.0
16105,cust16105@gmail.com,Pensions,4.0
16110,cust16110@gmail.com,Home Account,1.0
16111,cust16111@gmail.com,Taxes,4.5
16113,cust16113@gmail.com,Current Accounts,3.5
16114,cust16114@gmail.com,Payroll,5.0
16115,cust16115@gmail.com,Junior Account,4.5
16117,cust16117@gmail.com,Current Accounts,5.0
16119,cust16119@gmail.com,Direct Debit,3.5
16120,cust16120@gmail.com,Guarantees,3.5
16121,cust16121@gmail.com,Derivada Account,4.0
